ds,y
2018-09-10,19466.899999999998
2018-09-11,16803.7
2018-09-12,15478.6
2018-09-13,15171.8
2018-09-14,16305.499999999998
2018-09-15,15669.6
2018-09-16,4950.5
2018-09-17,24660.2
2018-09-18,30134.0
2018-09-19,38235.3
2018-09-20,26995.4
2018-09-21,15587.8
2018-09-22,18783.0
2018-09-23,4560.8
2018-09-24,44122.700000000004
2018-09-25,55352.5
2018-09-26,52274.700000000004
2018-09-27,52464.0
2018-09-28,83179.2
2018-09-29,66688.3
2018-09-30,8009.0
2018-10-01,28486.4
2018-10-02,4553.200000000001
2018-10-03,20925.899999999998
2018-10-04,16314.900000000001
2018-10-05,14609.6
2018-10-06,11806.5
2018-10-07,3884.3
2018-10-08,15505.0
2018-10-09,12447.800000000001
2018-10-10,12378.3
2018-10-11,12325.300000000001
2018-10-12,13019.9
2018-10-13,9457.800000000001
2018-10-14,3286.0
2018-10-15,16799.600000000002
2018-10-16,16927.7
2018-10-17,22731.0
2018-10-18,34661.0
2018-10-19,4794.6
2018-10-20,18943.4
2018-10-21,5135.900000000001
2018-10-22,37484.9
2018-10-23,38855.8
2018-10-24,32734.4
2018-10-25,64702.600000000006
2018-10-26,44417.700000000004
2018-10-27,24819.0
2018-10-28,4430.900000000001
2018-10-29,39007.0
2018-10-30,60539.6
2018-10-31,19387.5
2018-11-01,15339.9
2018-11-02,12665.4
2018-11-03,10206.099999999999
2018-11-04,2915.6
2018-11-05,10795.5
2018-11-06,8834.199999999999
2018-11-07,1511.9
2018-11-08,5843.5
2018-11-09,7115.8
2018-11-10,9087.300000000001
2018-11-11,3011.4
2018-11-12,19562.8
2018-11-13,11561.0
2018-11-14,13559.900000000001
2018-11-15,15849.199999999999
2018-11-16,18572.399999999998
2018-11-17,15520.0
2018-11-18,3471.0
2018-11-19,23779.9
2018-11-20,26338.100000000002
2018-11-21,17845.1
2018-11-22,55185.8
2018-11-23,17711.5
2018-11-24,33205.1
2018-11-25,5263.200000000001
2018-11-26,70069.0
2018-11-27,49909.2
2018-11-28,42131.6
2018-11-29,47685.7
2018-11-30,21533.100000000002
2018-12-01,12805.300000000001
2018-12-02,3009.1
2018-12-03,13171.4
2018-12-04,11432.3
2018-12-05,11453.0
2018-12-06,10254.5
2018-12-07,10355.9
2018-12-08,5981.0
2018-12-09,2147.2000000000003
2018-12-10,9846.9
2018-12-11,8396.9
2018-12-12,8771.4
2018-12-13,8858.3
2018-12-14,10512.3
2018-12-15,10536.199999999999
2018-12-16,2501.3
2018-12-17,15369.9
2018-12-18,29182.600000000002
2018-12-19,23092.5
2018-12-20,27909.5
2018-12-21,25513.2
2018-12-22,17027.2
2018-12-23,3383.4
2018-12-24,44627.1
2018-12-25,9750.199999999999
2018-12-26,55054.1
2018-12-27,41494.100000000006
2018-12-28,44547.600000000006
2018-12-29,37483.2
2018-12-30,4031.2999999999997
2018-12-31,24158.2
2019-01-01,8437.5
2019-01-02,12322.300000000001
2019-01-03,8172.1
2019-01-04,8868.9
2019-01-05,6354.7
2019-01-06,1979.6000000000001
2019-01-07,7646.0
2019-01-08,7001.5
2019-01-09,5179.1
2019-01-10,8923.0
2019-01-11,9227.5
2019-01-12,5859.8
2019-01-13,2042.1999999999998
2019-01-14,9074.6
2019-01-15,12388.0
2019-01-16,10572.1
2019-01-17,12677.199999999999
2019-01-18,13925.599999999999
2019-01-19,11694.800000000001
2019-01-20,3036.7000000000003
2019-01-21,25910.3
2019-01-22,34422.5
2019-01-23,27423.600000000002
2019-01-24,33439.4
2019-01-25,53021.299999999996
2019-01-26,2788.1
2019-01-27,4245.0
2019-01-28,72701.6
2019-01-29,60070.6
2019-01-30,35566.200000000004
2019-01-31,22391.300000000003
2019-02-01,16129.8
2019-02-02,9357.4
2019-02-03,2844.1
2019-02-04,12342.3
2019-02-05,10500.7
2019-02-06,8978.1
2019-02-07,7616.3
2019-02-08,8011.799999999999
2019-02-09,5471.599999999999
2019-02-10,2113.1000000000004
2019-02-11,10295.7
2019-02-12,9591.8
2019-02-13,9680.1
2019-02-14,10478.5
2019-02-15,10993.5
2019-02-16,9604.8
2019-02-17,2693.6
2019-02-18,15910.3
2019-02-19,31827.7
2019-02-20,25100.5
2019-02-21,28831.399999999998
2019-02-22,32128.999999999996
2019-02-23,22354.1
2019-02-24,4648.2
2019-02-25,73733.59999999999
2019-02-26,65777.8
2019-02-27,40431.9
2019-02-28,46564.2
2019-03-01,19516.4
2019-03-02,12366.199999999999
2019-03-03,3036.7000000000003
2019-03-04,8378.0
2019-03-05,15222.8
2019-03-06,11074.0
2019-03-07,10256.1
2019-03-08,9366.4
2019-03-09,6810.4
2019-03-10,2591.0
2019-03-11,12175.7
2019-03-12,12508.900000000001
2019-03-13,11208.1
2019-03-14,11988.4
2019-03-15,20321.899999999998
2019-03-16,12435.1
2019-03-17,2953.8
2019-03-18,26248.7
2019-03-19,24450.199999999997
2019-03-20,22636.5
2019-03-21,2167.8
2019-03-22,40821.1
2019-03-23,26656.1
2019-03-24,5055.1
2019-03-25,75407.0
2019-03-26,58064.0
2019-03-27,30192.8
2019-03-28,50720.4
2019-03-29,23632.100000000002
2019-03-30,12616.4
2019-03-31,2762.7000000000003
2019-04-01,7406.1
2019-04-02,5257.1
2019-04-03,4290.3
2019-04-04,4654.4
2019-04-05,3990.6000000000004
2019-04-06,3408.7000000000003
2019-04-07,1573.3999999999999
2019-04-08,5079.6
2019-04-09,4785.9
2019-04-10,4712.799999999999
2019-04-11,6828.8
2019-04-12,5920.6
2019-04-13,3536.7000000000003
2019-04-14,1558.2
2019-04-15,8089.9
2019-04-16,9150.6
2019-04-17,6756.2
2019-04-18,15371.2
2019-04-19,4787.3
2019-04-20,15528.800000000001
2019-04-21,3407.0
2019-04-22,29316.4
2019-04-23,25288.399999999998
2019-04-24,29927.399999999998
2019-04-25,33601.100000000006
2019-04-26,48489.9
2019-04-27,40230.3
2019-04-28,5035.0
2019-04-29,61319.4
2019-04-30,29912.8
2019-05-01,16402.6
2019-05-02,15126.4
2019-05-03,11177.199999999999
2019-05-04,7933.8
2019-05-05,2854.0
2019-05-06,10437.2
2019-05-07,9716.5
2019-05-08,9119.199999999999
2019-05-09,9336.800000000001
2019-05-10,9110.900000000001
2019-05-11,6406.7
2019-05-12,2199.9
2019-05-13,11360.0
2019-05-14,12447.4
2019-05-15,12670.199999999999
2019-05-16,13216.0
2019-05-17,24761.5
2019-05-18,10843.400000000001
2019-05-19,4212.900000000001
2019-05-20,33563.4
2019-05-21,35515.799999999996
2019-05-22,34907.9
2019-05-23,37652.799999999996
2019-05-24,39348.0
2019-05-25,27442.399999999998
2019-05-26,6399.5
2019-05-27,74048.3
2019-05-28,48082.2
2019-05-29,54858.4
2019-05-30,41381.3
2019-05-31,19249.4
2019-06-01,13361.0
2019-06-02,4812.0
2019-06-03,15710.800000000001
2019-06-04,14293.0
2019-06-05,5355.900000000001
2019-06-06,15637.7
2019-06-07,13038.6
2019-06-08,9359.8
2019-06-09,3939.8
2019-06-10,15627.599999999999
2019-06-11,15100.5
2019-06-12,14455.199999999999
2019-06-13,14240.6
2019-06-14,17115.100000000002
2019-06-15,14856.8
2019-06-16,4793.0
2019-06-17,23135.100000000002
2019-06-18,25090.1
2019-06-19,25626.899999999998
2019-06-20,38199.9
2019-06-21,47246.4
2019-06-22,21461.1
2019-06-23,7670.9
2019-06-24,56545.299999999996
2019-06-25,51273.200000000004
2019-06-26,53670.9
2019-06-27,67121.7
2019-06-28,63249.8
2019-06-29,32458.199999999997
2019-06-30,6353.900000000001
2019-07-01,23003.8
2019-07-02,19508.5
2019-07-03,17317.0
2019-07-04,15125.5
2019-07-05,13859.1
2019-07-06,13318.4
2019-07-07,5610.9
2019-07-08,17737.100000000002
2019-07-09,15961.9
2019-07-10,15614.699999999999
2019-07-11,16725.7
2019-07-12,17235.5
2019-07-13,12056.1
2019-07-14,6060.5
2019-07-15,23048.2
2019-07-16,22371.9
2019-07-17,21738.7
2019-07-18,43923.7
2019-07-19,29724.8
2019-07-20,25612.4
2019-07-21,6632.6
2019-07-22,45451.799999999996
2019-07-23,38933.9
2019-07-24,47496.7
2019-07-25,50059.2
2019-07-26,55538.3
2019-07-27,38635.1
2019-07-28,8328.0
2019-07-29,76956.8
2019-07-30,31973.600000000002
2019-07-31,24699.0
2019-08-01,18898.2
2019-08-02,17726.7
2019-08-03,13146.9
2019-08-04,5987.099999999999
2019-08-05,16716.4
2019-08-06,15604.300000000001
2019-08-07,15581.0
2019-08-08,13851.699999999999
2019-08-09,13610.900000000001
2019-08-10,10305.7
2019-08-11,3981.0
2019-08-12,6425.8
2019-08-13,20999.0
2019-08-14,17492.2
2019-08-15,3217.1
2019-08-16,19665.1
2019-08-17,15133.699999999999
2019-08-18,5708.0
2019-08-19,28430.800000000003
2019-08-20,42350.5
2019-08-21,24144.2
2019-08-22,32660.3
2019-08-23,51345.3
2019-08-24,11040.6
2019-08-25,7555.900000000001
2019-08-26,76855.40000000001
2019-08-27,60822.8
2019-08-28,59058.5
2019-08-29,66909.0
2019-08-30,37946.9
2019-08-31,24087.9
2019-09-01,6508.200000000001
2019-09-02,20851.0
2019-09-03,17686.3
2019-09-04,16238.499999999998
2019-09-05,17684.8
2019-09-06,16770.800000000003
2019-09-07,13681.2
2019-09-08,5377.900000000001
2019-09-09,18013.6
2019-09-10,8949.6
2019-09-11,19539.5
2019-09-12,19980.1
2019-09-13,17117.899999999998
2019-09-14,12597.8
2019-09-15,5282.6
2019-09-16,23566.4
2019-09-17,21552.7
2019-09-18,42180.3
2019-09-19,28093.399999999998
2019-09-20,31941.9
2019-09-21,29022.1
2019-09-22,7198.0
2019-09-23,58347.6
2019-09-24,55071.399999999994
2019-09-25,51987.1
2019-09-26,51983.5
2019-09-27,57381.2
2019-09-28,45213.2
2019-09-29,7451.1
2019-09-30,45008.1
